month,level_1,level_2,value
1964-03,Number Of Air Passenger Departures,South Asia,na
1964-03,Number Of Air Passenger Departures,Middle East,na
1964-03,Number Of Air Passenger Departures,Oceania,na
1964-03,Number Of Air Passenger Departures,Europe,na
1964-03,Number Of Air Passenger Departures,North America,na
1964-03,Number Of Air Passenger Departures,Other Regions,na
1964-04,Number Of Air Passenger Departures,South East Asia,na
1964-04,Number Of Air Passenger Departures,North East Asia,na
1964-04,Number Of Air Passenger Departures,South Asia,na
1964-04,Number Of Air Passenger Departures,Middle East,na
1964-04,Number Of Air Passenger Departures,Oceania,na
1964-04,Number Of Air Passenger Departures,Europe,na
1964-04,Number Of Air Passenger Departures,North America,na
1964-04,Number Of Air Passenger Departures,Other Regions,na
1964-05,Number Of Air Passenger Departures,South East Asia,na
1964-05,Number Of Air Passenger Departures,North East Asia,na
1964-05,Number Of Air Passenger Departures,South Asia,na
1964-05,Number Of Air Passenger Departures,Middle East,na
1964-05,Number Of Air Passenger Departures,Oceania,na
1964-05,Number Of Air Passenger Departures,Europe,na
1964-05,Number Of Air Passenger Departures,North America,na
1964-05,Number Of Air Passenger Departures,Other Regions,na
1964-06,Number Of Air Passenger Departures,South East Asia,na
1964-06,Number Of Air Passenger Departures,North East Asia,na
1964-06,Number Of Air Passenger Departures,South Asia,na
1964-06,Number Of Air Passenger Departures,Middle East,na
1964-06,Number Of Air Passenger Departures,Oceania,na
1964-06,Number Of Air Passenger Departures,Europe,na
1964-06,Number Of Air Passenger Departures,North America,na
1964-06,Number Of Air Passenger Departures,Other Regions,na
1964-07,Number Of Air Passenger Departures,South East Asia,na
1964-07,Number Of Air Passenger Departures,North East Asia,na
1964-07,Number Of Air Passenger Departures,South Asia,na
1964-07,Number Of Air Passenger Departures,Middle East,na
1964-07,Number Of Air Passenger Departures,Oceania,na
1964-07,Number Of Air Passenger Departures,Europe,na
1964-07,Number Of Air Passenger Departures,North America,na
1964-07,Number Of Air Passenger Departures,Other Regions,na
1964-08,Number Of Air Passenger Departures,South East Asia,na
1964-08,Number Of Air Passenger Departures,North East Asia,na
1964-08,Number Of Air Passenger Departures,South Asia,na
1964-08,Number Of Air Passenger Departures,Middle East,na
1964-08,Number Of Air Passenger Departures,Oceania,na
1964-08,Number Of Air Passenger Departures,Europe,na
1964-08,Number Of Air Passenger Departures,North America,na
1964-08,Number Of Air Passenger Departures,Other Regions,na
1964-09,Number Of Air Passenger Departures,South East Asia,na
1964-09,Number Of Air Passenger Departures,North East Asia,na
1964-09,Number Of Air Passenger Departures,South Asia,na
1964-09,Number Of Air Passenger Departures,Middle East,na
1964-09,Number Of Air Passenger Departures,Oceania,na
1964-09,Number Of Air Passenger Departures,Europe,na
1964-09,Number Of Air Passenger Departures,North America,na
1964-09,Number Of Air Passenger Departures,Other Regions,na
1964-10,Number Of Air Passenger Departures,South East Asia,na
1964-10,Number Of Air Passenger Departures,North East Asia,na
1964-10,Number Of Air Passenger Departures,South Asia,na
1964-10,Number Of Air Passenger Departures,Middle East,na
1964-10,Number Of Air Passenger Departures,Oceania,na
1964-10,Number Of Air Passenger Departures,Europe,na
1964-10,Number Of Air Passenger Departures,North America,na
1964-10,Number Of Air Passenger Departures,Other Regions,na
1964-11,Number Of Air Passenger Departures,South East Asia,na
1964-11,Number Of Air Passenger Departures,North East Asia,na
1964-11,Number Of Air Passenger Departures,South Asia,na
1964-11,Number Of Air Passenger Departures,Middle East,na
1964-11,Number Of Air Passenger Departures,Oceania,na
1964-11,Number Of Air Passenger Departures,Europe,na
1964-11,Number Of Air Passenger Departures,North America,na
1964-11,Number Of Air Passenger Departures,Other Regions,na
1964-12,Number Of Air Passenger Departures,South East Asia,na
1964-12,Number Of Air Passenger Departures,North East Asia,na
1964-12,Number Of Air Passenger Departures,South Asia,na
1964-12,Number Of Air Passenger Departures,Middle East,na
