month,level_1,level_2,level_3,value
1963-01,Number Of Air Passenger Departures,South East Asia,Indonesia,1587
1963-01,Number Of Air Passenger Departures,South East Asia,Thailand,1322
1963-01,Number Of Air Passenger Departures,South East Asia,Philippines,220
1963-01,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-01,Number Of Air Passenger Departures,North East Asia,China,na
1963-01,Number Of Air Passenger Departures,North East Asia,Hong Kong,1052
1963-01,Number Of Air Passenger Departures,North East Asia,Japan,111
1963-01,Number Of Air Passenger Departures,Europe,United Kingdom,578
1963-01,Number Of Air Passenger Departures,Europe,France,na
1963-01,Number Of Air Passenger Departures,Europe,Germany,na
1963-02,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1963-02,Number Of Air Passenger Departures,South East Asia,Indonesia,1562
1963-02,Number Of Air Passenger Departures,South East Asia,Thailand,1464
1963-02,Number Of Air Passenger Departures,South East Asia,Philippines,189
1963-02,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-02,Number Of Air Passenger Departures,North East Asia,China,na
1963-02,Number Of Air Passenger Departures,North East Asia,Hong Kong,1386
1963-02,Number Of Air Passenger Departures,North East Asia,Japan,104
1963-02,Number Of Air Passenger Departures,Europe,United Kingdom,307
1963-02,Number Of Air Passenger Departures,Europe,France,na
1963-02,Number Of Air Passenger Departures,Europe,Germany,na
1963-03,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1963-03,Number Of Air Passenger Departures,South East Asia,Indonesia,1644
1963-03,Number Of Air Passenger Departures,South East Asia,Thailand,2478
1963-03,Number Of Air Passenger Departures,South East Asia,Philippines,282
1963-03,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-03,Number Of Air Passenger Departures,North East Asia,China,na
1963-03,Number Of Air Passenger Departures,North East Asia,Hong Kong,1762
1963-03,Number Of Air Passenger Departures,North East Asia,Japan,199
1963-03,Number Of Air Passenger Departures,Europe,United Kingdom,554
1963-03,Number Of Air Passenger Departures,Europe,France,na
1963-03,Number Of Air Passenger Departures,Europe,Germany,na
1963-04,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1963-04,Number Of Air Passenger Departures,South East Asia,Indonesia,1729
1963-04,Number Of Air Passenger Departures,South East Asia,Thailand,2595
1963-04,Number Of Air Passenger Departures,South East Asia,Philippines,337
1963-04,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-04,Number Of Air Passenger Departures,North East Asia,China,na
1963-04,Number Of Air Passenger Departures,North East Asia,Hong Kong,2028
1963-04,Number Of Air Passenger Departures,North East Asia,Japan,164
1963-04,Number Of Air Passenger Departures,Europe,United Kingdom,768
1963-04,Number Of Air Passenger Departures,Europe,France,na
1963-04,Number Of Air Passenger Departures,Europe,Germany,na
1963-05,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1963-05,Number Of Air Passenger Departures,South East Asia,Indonesia,1594
1963-05,Number Of Air Passenger Departures,South East Asia,Thailand,2288
1963-05,Number Of Air Passenger Departures,South East Asia,Philippines,245
1963-05,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-05,Number Of Air Passenger Departures,North East Asia,China,na
1963-05,Number Of Air Passenger Departures,North East Asia,Hong Kong,1629
1963-05,Number Of Air Passenger Departures,North East Asia,Japan,139
1963-05,Number Of Air Passenger Departures,Europe,United Kingdom,717
1963-05,Number Of Air Passenger Departures,Europe,France,na
1963-05,Number Of Air Passenger Departures,Europe,Germany,na
1963-06,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1963-06,Number Of Air Passenger Departures,South East Asia,Indonesia,1643
1963-06,Number Of Air Passenger Departures,South East Asia,Thailand,1735
1963-06,Number Of Air Passenger Departures,South East Asia,Philippines,223
1963-06,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-06,Number Of Air Passenger Departures,North East Asia,China,na
1963-06,Number Of Air Passenger Departures,North East Asia,Hong Kong,1138
1963-06,Number Of Air Passenger Departures,North East Asia,Japan,120
1963-06,Number Of Air Passenger Departures,Europe,United Kingdom,556
1963-06,Number Of Air Passenger Departures,Europe,France,na
1963-06,Number Of Air Passenger Departures,Europe,Germany,na
1963-07,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1963-07,Number Of Air Passenger Departures,South East Asia,Indonesia,2045
1963-07,Number Of Air Passenger Departures,South East Asia,Thailand,2384
1963-07,Number Of Air Passenger Departures,South East Asia,Philippines,339
1963-07,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-07,Number Of Air Passenger Departures,North East Asia,China,na
1963-07,Number Of Air Passenger Departures,North East Asia,Hong Kong,1274
1963-07,Number Of Air Passenger Departures,North East Asia,Japan,170
1963-07,Number Of Air Passenger Departures,Europe,United Kingdom,620
1963-07,Number Of Air Passenger Departures,Europe,France,na
1963-07,Number Of Air Passenger Departures,Europe,Germany,na
1963-08,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1963-08,Number Of Air Passenger Departures,South East Asia,Indonesia,2104
1963-08,Number Of Air Passenger Departures,South East Asia,Thailand,1920
1963-08,Number Of Air Passenger Departures,South East Asia,Philippines,383
1963-08,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-08,Number Of Air Passenger Departures,North East Asia,China,na
1963-08,Number Of Air Passenger Departures,North East Asia,Hong Kong,1675
1963-08,Number Of Air Passenger Departures,North East Asia,Japan,173
1963-08,Number Of Air Passenger Departures,Europe,United Kingdom,663
1963-08,Number Of Air Passenger Departures,Europe,France,na
1963-08,Number Of Air Passenger Departures,Europe,Germany,na
1963-09,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1963-09,Number Of Air Passenger Departures,South East Asia,Indonesia,1518
1963-09,Number Of Air Passenger Departures,South East Asia,Thailand,1603
1963-09,Number Of Air Passenger Departures,South East Asia,Philippines,344
1963-09,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-09,Number Of Air Passenger Departures,North East Asia,China,na
1963-09,Number Of Air Passenger Departures,North East Asia,Hong Kong,1497
1963-09,Number Of Air Passenger Departures,North East Asia,Japan,145
1963-09,Number Of Air Passenger Departures,Europe,United Kingdom,1976
1963-09,Number Of Air Passenger Departures,Europe,France,na
1963-09,Number Of Air Passenger Departures,Europe,Germany,na
1963-10,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1963-10,Number Of Air Passenger Departures,South East Asia,Indonesia,1
1963-10,Number Of Air Passenger Departures,South East Asia,Thailand,2531
1963-10,Number Of Air Passenger Departures,South East Asia,Philippines,324
1963-10,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-10,Number Of Air Passenger Departures,North East Asia,China,na
1963-10,Number Of Air Passenger Departures,North East Asia,Hong Kong,1711
1963-10,Number Of Air Passenger Departures,North East Asia,Japan,135
1963-10,Number Of Air Passenger Departures,Europe,United Kingdom,496
1963-10,Number Of Air Passenger Departures,Europe,France,na
1963-10,Number Of Air Passenger Departures,Europe,Germany,na
1963-11,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1963-11,Number Of Air Passenger Departures,South East Asia,Indonesia,9
1963-11,Number Of Air Passenger Departures,South East Asia,Thailand,2382
1963-11,Number Of Air Passenger Departures,South East Asia,Philippines,537
1963-11,Number Of Air Passenger Departures,South East Asia,Vietnam,na
1963-11,Number Of Air Passenger Departures,North East Asia,China,na
1963-11,Number Of Air Passenger Departures,North East Asia,Hong Kong,2012
1963-11,Number Of Air Passenger Departures,North East Asia,Japan,103
1963-11,Number Of Air Passenger Departures,Europe,United Kingdom,397
1963-11,Number Of Air Passenger Departures,Europe,France,na
1963-11,Number Of Air Passenger Departures,Europe,Germany,na
1963-12,Number Of Air Passenger Departures,South East Asia,Malaysia,na
1963-12,Number Of Air Passenger Departures,South East Asia,Indonesia,10
1963-12,Number Of Air Passenger Departures,South East Asia,Thailand,1575
1963-12,Number Of Air Passenger Departures,South East Asia,Philippines,276
