month,level_1,level_2,value
2015-06,Number Of Air Passenger Arrivals,North East Asia,597959
2015-06,Number Of Air Passenger Arrivals,South Asia,200795
2015-06,Number Of Air Passenger Arrivals,Middle East,61483
2015-06,Number Of Air Passenger Arrivals,Oceania,242995
2015-06,Number Of Air Passenger Arrivals,Europe,156362
2015-06,Number Of Air Passenger Arrivals,North America,28724
2015-06,Number Of Air Passenger Arrivals,Other Regions,6509
2015-07,Number Of Air Passenger Arrivals,South East Asia,1032583
2015-07,Number Of Air Passenger Arrivals,North East Asia,669299
2015-07,Number Of Air Passenger Arrivals,South Asia,193835
2015-07,Number Of Air Passenger Arrivals,Middle East,79453
2015-07,Number Of Air Passenger Arrivals,Oceania,242224
2015-07,Number Of Air Passenger Arrivals,Europe,203033
2015-07,Number Of Air Passenger Arrivals,North America,26393
2015-07,Number Of Air Passenger Arrivals,Other Regions,7079
2015-08,Number Of Air Passenger Arrivals,South East Asia,1048419
2015-08,Number Of Air Passenger Arrivals,North East Asia,665855
2015-08,Number Of Air Passenger Arrivals,South Asia,204527
2015-08,Number Of Air Passenger Arrivals,Middle East,68001
2015-08,Number Of Air Passenger Arrivals,Oceania,242487
2015-08,Number Of Air Passenger Arrivals,Europe,194969
2015-08,Number Of Air Passenger Arrivals,North America,20891
2015-08,Number Of Air Passenger Arrivals,Other Regions,8764
2015-09,Number Of Air Passenger Arrivals,South East Asia,938701
2015-09,Number Of Air Passenger Arrivals,North East Asia,561079
2015-09,Number Of Air Passenger Arrivals,South Asia,179305
2015-09,Number Of Air Passenger Arrivals,Middle East,58689
2015-09,Number Of Air Passenger Arrivals,Oceania,240614
2015-09,Number Of Air Passenger Arrivals,Europe,175921
2015-09,Number Of Air Passenger Arrivals,North America,16554
2015-09,Number Of Air Passenger Arrivals,Other Regions,6887
2015-10,Number Of Air Passenger Arrivals,South East Asia,991438
2015-10,Number Of Air Passenger Arrivals,North East Asia,583991
2015-10,Number Of Air Passenger Arrivals,South Asia,192923
2015-10,Number Of Air Passenger Arrivals,Middle East,67251
2015-10,Number Of Air Passenger Arrivals,Oceania,221066
2015-10,Number Of Air Passenger Arrivals,Europe,192048
2015-10,Number Of Air Passenger Arrivals,North America,19144
2015-10,Number Of Air Passenger Arrivals,Other Regions,7473
2015-11,Number Of Air Passenger Arrivals,South East Asia,995536
2015-11,Number Of Air Passenger Arrivals,North East Asia,594916
2015-11,Number Of Air Passenger Arrivals,South Asia,197065
2015-11,Number Of Air Passenger Arrivals,Middle East,51263
2015-11,Number Of Air Passenger Arrivals,Oceania,243486
2015-11,Number Of Air Passenger Arrivals,Europe,147887
2015-11,Number Of Air Passenger Arrivals,North America,18389
2015-11,Number Of Air Passenger Arrivals,Other Regions,6761
2015-12,Number Of Air Passenger Arrivals,South East Asia,1161400
2015-12,Number Of Air Passenger Arrivals,North East Asia,676826
2015-12,Number Of Air Passenger Arrivals,South Asia,220732
2015-12,Number Of Air Passenger Arrivals,Middle East,81064
2015-12,Number Of Air Passenger Arrivals,Oceania,304746
2015-12,Number Of Air Passenger Arrivals,Europe,166384
2015-12,Number Of Air Passenger Arrivals,North America,23625
2015-12,Number Of Air Passenger Arrivals,Other Regions,9061
2016-01,Number Of Air Passenger Arrivals,South East Asia,1070670
2016-01,Number Of Air Passenger Arrivals,North East Asia,652135
2016-01,Number Of Air Passenger Arrivals,South Asia,236042
2016-01,Number Of Air Passenger Arrivals,Middle East,73138
2016-01,Number Of Air Passenger Arrivals,Oceania,259678
2016-01,Number Of Air Passenger Arrivals,Europe,169618
2016-01,Number Of Air Passenger Arrivals,North America,20851
2016-01,Number Of Air Passenger Arrivals,Other Regions,8064
2016-02,Number Of Air Passenger Arrivals,South East Asia,1003786
